typeFunct,success,execution_time,numberOfVertices,total_cost,deceleration
3,0,31.316744804382324,0,0.0,1.0
3,0,31.65410804748535,0,0.0,10.0
3,1,18.75826644897461,5,57.40287124652716,0.01
3,0,38.74269938468933,0,0.0,0.1
3,1,22.72192668914795,4,63.42764115124624,1.0
3,0,25.165852785110474,0,0.0,10.0
3,1,6.555703163146973,3,30.50300376508962,0.01
3,0,34.827407360076904,0,0.0,0.1
3,0,31.730470418930054,0,0.0,1.0
3,0,27.523921966552734,0,0.0,10.0
3,1,8.189613580703735,3,59.54525184643384,0.01
3,1,8.635735273361206,4,88.20580729616393,0.1
3,0,29.14137101173401,0,0.0,1.0
3,0,28.961623430252075,0,0.0,10.0
3,1,14.608126878738403,6,1.6870309404223416,0.01
3,1,5.009653091430664,3,35.99635791491358,0.1
3,1,14.197887420654297,5,29.080618379785136,1.0
3,1,15.552414178848267,5,29.080618379785136,10.0
3,1,5.346113443374634,5,1.8606865422946113,0.01
3,1,3.5227925777435303,4,52.764759509043756,0.1
3,1,3.6325392723083496,4,52.764759509043756,1.0
3,1,3.5805776119232178,4,52.764759509043756,10.0
3,0,19.133066177368164,0,0.0,0.01
3,0,30.02979040145874,0,0.0,0.1
3,0,29.3067843914032,0,0.0,1.0
3,0,29.234235525131226,0,0.0,10.0
3,0,41.727787733078,0,0.0,0.01
3,0,35.15678071975708,0,0.0,0.1
3,1,28.490214109420776,5,42.33088355016558,1.0
3,1,29.763287782669067,5,37.24706733100782,10.0
3,1,6.990891456604004,3,25.826658772908985,0.01
3,0,34.453553199768066,0,0.0,0.1
3,0,33.38584637641907,0,0.0,1.0
3,0,29.910938024520874,0,0.0,10.0
3,1,23.96167016029358,16,45.00526740832803,0.01
3,0,36.12346625328064,0,0.0,0.1
3,1,12.187512159347534,4,2.218232645105062,1.0
3,1,18.824249505996704,4,50.708200213306625,10.0
